Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,27345,925863,928801,0.040918599744418,0.271297356598424,0.271520569093403
n_1,24819,941721,944317,0.037138735675872,0.275944084549468,0.27605643108112
n_2,31224,947721,949339,0.046723070338991,0.277702210902493,0.277524534903131
n_3,117793,386757,387660,0.176263471190133,0.113327945652798,0.113326389414685
n_4,106602,49340,49215,0.159517446332215,0.01445765904304,0.014387242055006
n_5,104528,70878,71029,0.156413947488919,0.020768746608281,0.020764226677335
n_6,255967,90444,90378,0.383024729229452,0.026501996645495,0.02642060677532
