Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,24643,869304,964743,0.037105016698236,0.27123479752024,0.271272898438739
n_1,28079,872526,967008,0.042278609092634,0.272240105810102,0.271909786309357
n_2,28920,875986,972730,0.043544904553544,0.27331967337153,0.273518736594424
n_3,112465,370913,410605,0.169338785982516,0.11572995459888,0.115456664068502
n_4,107697,65813,73525,0.162159598399138,0.020534560670605,0.020674251959028
n_5,104878,68097,75679,0.157915024196633,0.021247200066646,0.021279928106185
n_6,257460,82348,92066,0.3876580610773,0.025693707961998,0.025887734523765
