Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,42747,213624,236175,0.140413748702519,0.142386953061575,0.142033067980421
n_1,43439,214490,238235,0.14268680445151,0.14296416864293,0.143271929502765
n_2,42998,214719,238144,0.141238224125925,0.143116804171949,0.14321720309571
n_3,43411,214392,237533,0.142594831097505,0.142898848634878,0.142849754362627
n_4,44702,212743,235339,0.146835459669684,0.141799739519805,0.141530306702421
n_5,43935,216377,240475,0.144316046722464,0.144221912063272,0.144619041061043
n_6,43204,213961,236916,0.141914885230393,0.14261157390559,0.142478697295012
