Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,41942,217090,217913,0.140608133024909,0.14045514480292,0.140657818468645
n_1,41849,216852,217435,0.14074558315733,0.140926153810321,0.140676537300176
n_2,42026,217789,218256,0.14088973817426,0.140907391088872,0.140879217062279
n_3,46662,241915,243014,0.156431660464648,0.156516681353349,0.156859935374848
n_4,41983,217818,217942,0.14074558315733,0.140926153810321,0.140676537300176
n_5,41844,216698,216531,0.140279593683999,0.140201524568166,0.139765769324612
n_6,41984,217456,218151,0.140748935599584,0.14069194328741,0.140811441982595
