Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,42702,244720,244854,0.142802680685421,0.14292756203145,0.142763187814631
n_1,42553,243089,243977,0.142304399587998,0.141974984172373,0.142251849156845
n_2,42881,245576,245814,0.143401286836015,0.143427504795012,0.143322919982788
n_3,42658,244531,245208,0.142655537274101,0.142817177472673,0.142969589051639
n_4,42546,243573,243794,0.142280990408925,0.142257662090088,0.14214515021229
n_5,43043,246280,246380,0.143943042123146,0.143838672675325,0.143652928740264
n_6,42645,244427,245079,0.142612063084393,0.142756436763081,0.142894375041543
