Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,42613,255496,255398,0.142393621642574,0.142552346264233,0.142323287036108
n_1,48927,293229,293960,0.163492190789342,0.163605230386052,0.163812376984684
n_2,54471,326411,326704,0.182017763698699,0.18211891339377,0.182059323752906
n_3,26069,155974,156194,0.08711095962735,0.087024687886376,0.087040789259579
n_4,46353,277739,278407,0.154891031938569,0.154962684735111,0.155145300174088
n_5,40470,241972,243054,0.13523267237404,0.13500671764039,0.135444460047746
n_6,40359,241475,240775,0.134861759929426,0.134729419694068,0.134174462744888
