Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,41,351581,390333,0.000139504656393,0.333224337685577,0.333221785040179
n_1,17,351623,390377,5.78433941142645E-05,0.333264144791714,0.333259347220527
n_2,16,351654,390426,5.44408415193078E-05,0.333293526227196,0.33330117783046
n_3,97014,212,241,0.330095237447133,0.000200931107168,0.000205738305997
n_4,1839,2,0,0.006257294222125,1.89557648271992E-06,0
n_5,965,8,6,0.003283463254133,7.5823059308797E-06,5.1221155019972E-06
n_6,194005,8,8,0.660112216184582,7.5823059308797E-06,6.82948733599626E-06
