Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,55653,293997,325468,0.183501272734467,0.185230314825444,0.184974501699034
n_1,42723,225899,250830,0.131480724337585,0.131388857211802,0.131738664153873
n_2,43867,231549,256360,0.144640007385817,0.145885482394435,0.145698081702547
n_3,37376,195957,218046,0.123237625459965,0.123461044848245,0.123922936194857
n_4,39876,208540,231798,0.131480724337585,0.131388857211802,0.131738664153873
n_5,46390,235751,260606,0.15295894277311,0.14853291683389,0.148111227493267
n_6,37399,195504,216421,0.123313461969639,0.123175636042659,0.122999393587716
