Node,Keys,Puts,Gets,Key Load,Put Load,Get Load
n_0,31746,884811,981011,0.045224090453879,0.27070369542052,0.270375649817574
n_1,31574,885058,982078,0.044979066086776,0.270779263889683,0.27066972482627
n_2,31970,886819,984810,0.045543191955223,0.271318033420844,0.271422689140943
n_3,112407,410361,456306,0.160130546703496,0.125547986130891,0.125762128320333
n_4,112711,66923,74071,0.160563613026749,0.02047477191019,0.020414648518353
n_5,120765,67784,75643,0.172037021472397,0.020738190743995,0.020847906169402
n_6,260798,66803,74407,0.37152247030148,0.020438058483876,0.020507253207126
